,Filter,Orignal
239,nothing partner train preston get taxi rest way told trains preston hours,"@115794 @115796 Nothing, partner was on a train to Preston had to get a Taxi rest of way as was told no trains into Preston for a few hours"
240,seen,@115795 @115796 What have you seen?
241,something going preston train station,Something going on at Preston train station ? @115796
242,hi loreenkindly dm us booking number attach guest passport copy well fix you see there anwar,"@115797 Hi Loreen,kindly DM us your booking number and attach guest passport copy, we'll fix it for you, see you there!- Anwar"
243,hi dm u booking passport picture thanks much quick action,@AirAsiaSupport Hi! I have DM u my booking # and passport picture thanks so much for quick action
244,hi loreencorrection done see board cheers anwar,"@115797 Hi Loreen,correction done! :) See you on board! Cheers!- Anwar"
245,thank much,@AirAsiaSupport thank you very much..
246,hi would like know itenerary birthday seen would like double check key birthdays right,@AirAsiaSupport Hi! i would like to know on my itenerary on how the birthday can be seen. i would like to double check if i can key in our birthdays right 🙂
247,hi loreen may check passengers date birth via airasia member account manage booking thankssha,"@115797 Hi Loreen, you may check the passenger's date of birth via AirAsia member account under manage booking. Thanks-Sha"
248,cant see see itenerary birthday,@AirAsiaSupport but i cant see it. i only see itenerary.. no birthday
249,may check manage booking online web check date birth shown accordingly ed,@115797 As you may check it under manage my booking online or during web check in. Date of birth will be shown accordingly.- Ed
250,hi airasia want rebook return flight try rebooking inbond also rebooking please help thanks,@AirAsiaSupport Hi Airasia. i want to rebook my return flight. but when i try rebooking my inbond also is rebooking. please help me. thanks
251,hi loreen kindly dm us booking number wish change flight us assist furtherthanksanwar,@115797 Hi Loreen :) Kindly DM us the booking number that you wish to do change flight for us to assist you further-Thanks-Anwar
252,hi booked ticket see itenary redundant call ur customer service assist line,@AirAsiaSupport hi!  I have booked my ticket and when i see my itenary has been redundant i call ur customer service to assist but out of line.
253,sorry checked booking already expired due payment made kindly please proceed new booking ed,@115797 Sorry as we checked booking has already expired due to no payment made. Kindly please proceed with new booking - Ed
254,lost booking chua loreen lee flight z taipeimanila email,@AirAsiaSupport lost my booking # chua loreen lee flight z2 129.128 12/22-01/8 taipei-manila. __email__
255,lost booking number worries drop passengers name flight details email ill trace email u time,"Lost your booking number? No worries, just drop me the passenger's name, flight details and email. I'll trace it and email u in no time :)"
256,hi emma could please follow us dm email reply sent yana,"@115799 Hi Emma, Could you please follow us so we can DM you again with the email reply sent to you  =) Yana"
257,hi yana followed,"@AirAsiaSupport Hi Yana, followed!"
258,hi emma replied via dm please check again thank you mariya,"@115799 Hi Emma, We have replied to you via DM. please check again, Thank you- Mariya"
259,hi yana dont dms mean email,@AirAsiaSupport Hi Yana I don’t have any DMs from you. Did you mean email?
260,replied via dm check yana,@115799 We have replied to you via DM. Check it out =) Yana
261,cascbn crm please check heard case officer weeks provided docs,@AirAsiaSupport CAS-19708536-CB92N2 CRM:0326600 Please check on this I haven't heard from my case officer in weeks and provided all docs.
262,notified changesyana,@115800  notified if there should be any changes-Yana
263,even happier know restrictions around volcano area lifted enjoy staying home pal,@115801 @115802 @AirAsiaSupport You'll be even happier to know that the restrictions around the volcano area have been lifted. Enjoy staying at home pal! 😂😂😂😂 #unlucky
264,refunding trip bali volcano eruption urgently refund,@115802 @AirAsiaSupport Why are you not refunding my trip to Bali for Volcano eruption!!! Urgently refund!!
265,terribly sorry could offer options since flight operating per normalpassengers,@115800 We are terribly sorry but we could not offer any options since all the flight are operating as per normal.Passengers will be
266,hi looreen kindly dm us booking number attach guest passport copy well fix you see there,"@115797 Hi Looreen :) Kindly DM us the booking number and attach guest passport copy, we'll fix it for you, see you there! -Anwar"
267,surname redundant go correct it,@AirAsiaSupport my surname has been redundant where do i go to correct it?
268,h,@115797 H
269,please tell carol cant wait go home amp find out chloe,@115803 Please don't tell me Carol!! I can't wait to go home &amp; find out!! - Chloe
270,lips sealed,@Morrisons My lips are sealed 😋
271,somebody else told me im gutted chloe,@115803 Somebody else has told me!! I'm gutted :( - Chloe
272,aahhrrgh keep mum im still watching,"@Morrisons Aahhrrgh! Keep mum, I’m still watching 😄"
273,worry carol lips shut chloe,"@115803 Don't you worry Carol, my lips are shut!! - Chloe"
274,aww sophie deserved winner,"@Morrisons Aww, Sophie deserved winner 👏😄"
275,fresh cream palmier bakery bellshill gets vote baker ‍just catching dont know yet,Fresh cream palmier @Morrisons bakery Bellshill gets my vote for #star baker 👨‍🍳😘😋💗just catching up on #gbbo17 don’t know who won yet 😄
276,hi there sorry please dm visited store ill look thanks kirsty,"@115804 Hi there, sorry about that. Please DM me when you visited the store and I'll look into this. Thanks - Kirsty"
277,thats pointless every day time matter go speak management r fed theyve staff,"@Morrisons That's pointless as it's every day, all the time. No matter when I go in. I speak 2the management who r as fed up as I am. They've no staff."
278,sorry could send store get right people janay,@115804 So sorry! Could you send me what store this is in so we can get this to the right people? - Janay
279,see sent store leave us well get sorted janay,"@115804 I can see you've sent the store, leave it with us and we'll get this sorted :) - Janay"
280,fed familiar sight houghton regis get staff amp stock place properly small example,@Morrisons so fed up of this very familiar sight at Houghton Regis. Get more staff &amp; stock the place properly. This is just a small example https://t.co/CummsXx7jc
281,store bought from along address card number ill get sorted thanks kirsty,"@115805  store you bought it from, along with your address and More Card number and I'll get this sorted for you. Thanks - Kirsty"
282,unless one reduced hidden label side its dont care p feel ripped off,"@Morrisons 3 for £6, unless one is reduced (hidden label on the side!) then it’s 3 for £6.14. Don’t care about the 14p but feel ripped off! https://t.co/jG0fTncMDr"
283,hi emma sorry product reduced previous offer applied please dm barcode,"@115805 Hi Emma, sorry about that. If a product is reduced then the previous offer isn't applied. Please DM me the barcode and the"
284,welcome william give us shout need assistance anything else good luck nrc app,"@115806 You're welcome, William. Give us a shout if you need assistance with anything else. Good luck with the NRC app."
285,thank nike,@NikeSupport Thank you nike
286,coach plans weeks time decide fits best,@115806 While the Coach plans can be weeks in time. It's up to you to decide what fits you best. (2/2)
287,im new nike run club app start guided runs couch,"@NikeSupport I'm new to nike+ run club app,  should i start with guided runs or my couch?"
288,got beneficial starting nrc app audio guided runs one time runs,@115806 We got this. Both are beneficial to starting the NRC app. The Audio Guided runs are one time runs. (1/2)
289,exactly issue having,@115807 What exactly is the issue you are having?
290,ive asked sales rep payments wasnt ready listen issues,@AskAmex I’ve asked your sales rep about the payments and she wasn’t ready to listen to any issues that I had.
291,apologies issues time chat securely me would happy review,"@115807 Apologies for all of the issues. If you have time to chat securely with me, I would be happy to review. ^Rachel"
292,sure please drop message,@AskAmex Sure. Please drop me a message now.
293,great please go log select code continue conversation,@115807 Great. Please go to https://t.co/crJMnNwi0H log in and select code 10307  and we will continue our conversation there. ^RK
294,amex platinum amex everyday card,@AskAmex Amex Platinum and Amex everyday card.
295,sorry hear us based card have pls share personal info,@115807 I am so sorry to hear that. Which U.S. based card do you have? Pls do not share any personal info.
296,nope werent ready listen wanted say questions anything else hung,@AskAmex Nope. They weren’t ready to listen what I wanted to say and if I had any questions about anything else and hung up on me.
297,hi there sorry exactly issue having,"@115807 Hi there, I am so sorry to her that. what exactly is the issue you are having?"
298,thought amex values customers boy got really bad reps customer service,@AskAmex Thought Amex values their customers. But boy you got really bad reps on the customer service.
299,its getting sorts saucy,@115808 It’s getting all sorts of saucy over here this #Halloween. #TrickorTweet https://t.co/aNlYZYvL1U
300,treat,@McDonalds Treat!
301,whatll trick treat let us know,So what’ll it be this #Halloween: a trick or a treat? Let us know below. #TrickorTweet https://t.co/xwjAZp0C2v
302,hearts beating faster here its scares,"@115809 Our heart’s beating faster over here, and it’s not from all the scares. #TrickorTweet https://t.co/Wte8FLiFJ7"
303,treat me,@McDonalds Treat me!
304,chocolate chip cookies mcflurry everything youve ever missing,@115810 Chocolate chip cookies + McFlurry = everything you’ve ever been missing. #TrickorTweet https://t.co/4YfWChLNKT
305,get uhhhhhhhhhh treat,@McDonalds Can I get uhhhhhhhhhh... treat?
306,hi receiving error message trying link account,@115811 Hi - are you receiving an error message when trying to link the account?
307,cant connect interactive broker canada yahoo finance app ios suggestion,"@115812 I cant Connect my Interactive Broker ( Canada) with yahoo finance App in ios 11, Any suggestions.. ??"
308,hi there thanks reaching please send us dm continue conversation,"@115813 Hi there, thanks for reaching out. Please send us a DM so we can continue our conversation. https://t.co/SXpdictw1A"
309,work pm tomorrow new phone overnighted may ride,@AskLyft I have to be at work at 2pm tomorrow. My new phone is being overnighted but it may not be there until then. I have no other ride.
310,please let us know help dm tracking using link,@115814 Please let us know how we can help and DM your tracking # using this link. ^MC https://t.co/wKJHDXWGRQ
311,whats wrong w amazon leavin shit outside like,whats wrong w/ amazon leavin shit outside like ups...🤔
312,im sorry hear let us know happened tracking please send,@115815 I'm sorry to hear that. Let us know what happened and if you have a tracking # please send that too. ^MC https://t.co/wKJHDXWGRQ
313,small biz tyrant dime yo nice,@115816 that small biz tyrant a dime yo. nice @115817
314,worth squeeze youve got us helping along way owning quite fruitful,"Worth the squeeze: when you’ve got us helping you along the way, owning your own #smallbiz can be quite fruitful! https://t.co/AgBM1TRAcD"
315,glad check pls dm confirmation number assistance qb,"@115818 Glad to check. Pls, DM your confirmation number for assistance.  *QB https://t.co/6iDGBJAc2m"
316,dm sent,@Delta DM sent
317,booked flight using delta amex card checking amp charged baggage,@DELTA i booked my flight using delta amex card. Checking in now &amp; was being charged for baggage
318,forget sunday bring grandma mcdonalds day see then,@115819 Don't forget - this Sunday is Bring Your Grandma to McDonald's Day. See you then!
319,granny attending mcds heaven would give anything able bring myself,@McDonalds My granny will be attending @ the McD’s in Heaven!  Would give anything to be able to bring her myself!
320,grandmas laying thanks delicious new,My grandma's laying #Poolside thanks to @McDonalds delicious New #ButtermilkCrispyTenders https://t.co/4sy9hatKTi
321,im sorry weve let down without providing personal information describe issue wed love help,"@115820 I'm sorry we've let you down! Without providing any personal information, will you describe the issue? We'd love to help. ^TN"
322,different people given different answers still order says delivered saturday not home day,"@AmazonHelp 3 different people have given 3 different answers and I still don't have my order. Says delivered Saturday, was not, I was home all day"
323,wed like take look you please reach us phone chat here,@115820 We'd like to take a further look into this with you! Please reach us by phone or chat here: https://t.co/hApLpMlfHN ^AG
324,frankly patience another chat customer service people today,"@AmazonHelp I frankly don't have the patience for another chat with your ""customer service"" people today."
325,way drop ball customer service pissed right now,Way to drop the ball on customer service @115821 so pissed right now!
326,unable affect account via twitter real time support phone chat use link,"@115822 I am unable to affect your account via Twitter. For real time support, phone or chat use this link: https://t.co/hApLpMlfHN ^CH"
327,want amazon payments account closed dm please,@115823 I want my amazon payments account CLOSED.  dm me please.
328,hi wir erhalten die filmeserien vom jeweiligen studio gebe ich aber direkt als feedback dorthin weiter gruß,"@115824 Hi, wir erhalten die Filme/Serien so vom jeweiligen Studio. Gebe ich aber direkt als Feedback dorthin weiter. Gruß ^JS"
329,okay danke für die info,"@AmazonHelp Okay, danke für die Info"
330,wir haben zu danken schönen abend noch,@115824 Wir haben zu danken. Schönen Abend noch. ^JS
331,also beim addams familyfilm prime sind bild und ton nicht wirklich synchron wie kommts,"@115825 also, beim Addams Family-Film in Prime sind Bild und Ton nicht wirklich synchron. Wie kommt's?"
332,im sorry wait receive email soon estimated delivery date,@115826 I'm sorry for the wait. You'll receive an email as soon as we have an estimated delivery date. ^FJ
333,yeah crazy were less week away still shipping information something preordered back august,@AmazonHelp @115826 Yeah this is crazy we’re less than a week away and still no Shipping Information on something that we Pre-ordered back in August
334,thanks patience,@115827 Thanks for your patience. ^KM
335,guys figure xbox one x project scorpio edition first expected delivery shipping date its week away,@115828 How about you guys figure out my Xbox One X project Scorpio edition first. No expected delivery or shipping date and it’s only a week away
336,playerunknowns battlegrounds available preorder xbox one consoles,PLAYERUNKNOWN'S BATTLEGROUNDS is now available for preorder on Xbox One consoles - https://t.co/bqLHcBDqAb https://t.co/muLIqeHq0o
337,im sorry order arrived condition please reach us available options,@115829 I'm sorry your order arrived in this condition! Please reach out to us for available options: https://t.co/JzP7hlA23B ^DG
338,package accidentally opened items missing worth need better delivery drivers,"@115830 my package was ‘accidentally’ opened.. 4 items missing worth £97.
You need better delivery drivers!! https://t.co/f6SaVBSMqM"
339,im sorry wait please reach us take closer look delivery,@115831 I'm sorry for the wait. Please reach out to us so we can take a closer look at this delivery: https://t.co/JzP7hlA23B ^SH
340,order local courier last days still hasnt delivered me week late,@115821 @AmazonHelp why is my order at my local courier for the last 6 days and still hasn’t been delivered to me?? Over 1 week late 😡
341,alexa says styles working you vote goes flamingo look,@115832 Alexa says both styles are working for you! My vote goes to the Flamingo look! ^SE
342,thanks style advice look think,"Thanks for the style advice, @115833 look ...I think? #Halloween2017 #flamingo https://t.co/XvI54La043"
343,able reach us link dw provided,@115834 Were you able to reach us at the link DW provided? ^TR
344,hi ready help,@AmazonHelp Hi ready for some help
345,echo show supported please reach us live troubleshooting convenience,"@115834 The Echo Show is supported, please reach us for some live troubleshooting at your convenience: https://t.co/hApLpMlfHN ^DW"
346,echo show longer supported,@AmazonHelp Is the Echo Show no longer supported?
347,nothing helped echo show,@AmazonHelp Nothing there helped me with the Echo Show
348,oh no im sorry issues troubleshooting please check echo help pages here,"@115834 Oh no, I'm sorry for the issues! For troubleshooting, please check out our Echo Help pages here: https://t.co/a31c4ynHES ^SG"
349,bought echo show wont recognize single account household wtf guys,"Bought an @115821 Echo Show and it won’t recognize a single @AmazonHelp account in our household. WTF, guys?"
350,im sorry receive parcel wed like chance look here,@115835 I'm so sorry you didn't receive your parcel! We'd like a chance to look into this with you here: https://t.co/JzP7hlA23B ^SY
351,page useless doesnt allow state hasnt delivered tells has sort out,@AmazonHelp That page is useless - doesn’t allow me to state it hasn’t been delivered; only tells me it has! How can you sort this out?
352,also request call back martin,@115835 You can also request a call back here Martin https://t.co/zH8UlhTGcc ^KM
353,item delivered tracking says handed hour ago nd time happened sort,.@AmazonHelp Item has not been delivered but tracking says it was handed to me over an hour ago... 2nd time this has happened. Sort it out https://t.co/42W82GcARk
354,thanks bringing attention please also leave packing feedback here may improvekl,@115836 Thanks for bringing this to our attention! Please also leave packing feedback here: https://t.co/PMiShxgPvp so we may improve.^KL
355,response packing video packaging ft washing line pole,"In response to your @115830 packing video, this packaging was for a 2ft washing line pole @115837 https://t.co/X21SQHgC0K"
356,oh no want hear experience amzl please provide feedback here,@115838 Oh no! We want to hear more about your experience with AMZL. Please provide your feedback here: https://t.co/hApLpMlfHN ^SH
357,want form fill logs response one reads want prevent amzl touching stuff possible no,"@AmazonHelp I don't want a form to fill out that logs a response no one reads. I want to prevent AMZL from touching my stuff. Possible, or no?"
358,current order difficulties with please let us know wed like help,"@115838 Is there a current order you're having difficulties with? Please let us know, we'd like to help! ^KL"
359,already started return ups gets doorstep tomorrow order,@AmazonHelp Already started the return. UPS gets it from my doorstep tomorrow. Order 111-5014070-4118645
360,provide details here team escalate order amazon logistics feedback,@115838 Provide your details here: https://t.co/6f6cWZv7vm and my team will escalate the order to Amazon Logistics for feedback. ^EZ
361,possible prevent amzl delivering packages moving forward stuff either loststolenbroken every time,@AmazonHelp Is it possible to prevent AMZL from delivering my packages moving forward? Stuff is either lost/stolen/broken EVERY time.
362,let us know theres anything else you were happy help way can,@115839 Let us know if there’s anything else we can do for you! We're happy to help out any way we can! ^FR
363,already handled venting pretty big bummer,"@AmazonHelp Already handled, just venting. It was a pretty big bummer."
364,im sorry book arrived way find replacementrefund options here,@115839 I'm sorry your book arrived this way! You can find replacement/refund options here: https://t.co/zRrkpVcaDF ^VS
365,itd nice book waited months wasnt damaged inside undented box …,"@115821, it’d be nice if the book I waited 4 months for wasn’t damaged inside of an undented box. #twinpeaks #twin… https://t.co/Lac4K7iQzJ https://t.co/JroqJKrH9Q"
366,¡que lindoooooooooo,@115840 ¡Que lindoooooooooo! 😍🐶🎃 ^JJ https://t.co/YSOVnjaPrO
367,feliz,@115841 @115821 Feliz #Halloween2017 https://t.co/edHbRDnM8x
368,concurso tarjetas regalo en por tu foto en la cama disfrazado en los post promo,CONCURSO 👻🎃:Tarjetas regalo en @115821 por tu foto en la cama disfrazado y #ColchonMorfeoHalloween en los post promo:https://t.co/xAsY6KwLZa https://t.co/7yOZvlwBwN
369,oh no please contact us via phonechat here were unable view order details via twitter,"@115842 Oh no! Please contact us via phone/chat here: https://t.co/JzP7hlA23B
We're unable to view order details via Twitter. ^KL"
370,delivery paid todaydidnt arrivewhy noti paid enough itim unhappyrefund delivery charge,"@AmazonHelp delivery I paid for today,didn’t arrive.why not?i paid enough for it.where is it??I’m unhappy.refund the delivery charge"
371,lion even shows witch way up thats quite wardrobe,@115843 You're not lion! She even shows witch way is up! That's quite the wardrobe! ^AC
372,aww reply made night,@AmazonHelp Aww your reply made her night!
373,anna inspired idea lab school package shipped narnia amazon go anywhere according anna,"Anna Inspired in idea lab at school to be @115821 package being shipped to Narnia! ""Amazon can go anywhere"" according to Anna. https://t.co/TyvKhuu7su"
374,oh my im sorry troubles contact us phone chat amp well glad help,@115844 Oh my! I'm sorry for the troubles! Contact us by Phone or Chat: https://t.co/JzP7hlA23B &amp; we'll be glad to help! ^FR
375,said sorted ive refunded im impressed service,@AmazonHelp I just said it's been sorted! I've been refunded! I'm just not impressed with the service any more.
376,sent feckin order germany dozy driver looking address wrong country im done amazon,@115845 They sent the feckin' order to Germany! Some dozy driver is looking for an address in the wrong country! I'm so done with Amazon!
377,world,@115844 WHAT IN THE WORLD?!
378,im never using amazon again waiting day item out delivery theyve gone sent wrong country,"I'm NEVER using Amazon again! After waiting in all day as item is ""out for delivery"", they've only gone and sent it to the WRONG COUNTRY!"
379,thats okay thanks checking please contact us phone chat look this,@115846 That's okay! Thanks for checking! Please contact us by phone or chat and we can look into this: https://t.co/hApLpMlfHN ^BN
380,yeah idk shipping company says “ mike ziemer ” signed mail room building lol,@115847 @115821 Yeah idk the shipping company and it says “mike Ziemer” signed for it in the mail room at our building lol
381,remember head phones brought within minutes,@115846 @115821 Remember my head phones and they brought them within minutes
382,package halloween costume “ delivered ” friday dont searching everywhere last minute idea,My package from @115821 with my Halloween costume was “delivered” Friday but I don’t have I so searching everywhere for a last minute idea.
383,im sorry trouble caused you please contact us may lend hand,@115848 I'm sorry for the trouble this has caused you; please contact us so we may lend you a hand: https://t.co/hApLpMlfHN ^WM
384,,@115821  https://t.co/Gb0beuA3IN
385,packages china,How @115821 packages china https://t.co/fO9vbus18E
386,please share details here ill get back,@115849 Please share your details here:https://t.co/GIJyeYqKE0 and I'll get back to you. 2/2 ^HD
387,details sent please check,@AmazonHelp Details sent. Please check.
388,thanks confirming details shared team give look reach shortly,@115849 Thanks for confirming that the details have been shared. Our team will give it a look and reach out shortly. ^AB
389,already contacted times last month got assurance matter escalated amp new status provided day,@AmazonHelp Already contacted 3-4 times in the last month. But all I got was assurance that matter is escalated &amp; new status will be provided in 1 day!
390,please report support team here well look,@115849 Please report this to our support team here: https://t.co/TdDksLo6Mf and we'll look into this. 2/2 ^HD
391,order deliver even month ashamed,@115850 @115821 @AmazonHelp @115851 Order# 3632693-6196346. You couldn't deliver EVEN AFTER A MONTH. You should be ashamed of yourself.
392,still offer discounts eligible physical game preorders details prime benefits,@115852 We still offer discounts on eligible physical game pre-orders. For further details on Prime benefits: https://t.co/80y2YnlQGJ ^MB
393,since stop giving videogame preorders amazon prime members im confused why,@AmazonHelp since when you stop giving 20% off videogame pre-orders (amazon prime members) im confused? why?
394,im sorry let down wed like make sure addressed please provide details here,@115853 I'm sorry we let you down! We'd like to make sure this is addressed. Please provide some details here: https://t.co/z6evtFsZI5 ^BN
395,pulled another delivery bushes since people cant walk extra ft door tired,Just pulled another #Amazon delivery out of the bushes since the #amzl people can’t walk the extra 2 ft to my door. So tired of this.
396,were version ios running check settings gt general gt,@115854 We're here for you. Which version of the iOS are you running? Check from Settings &gt; General &gt; About.
397,newest update made sure download yesterday,@AppleSupport The newest update. I️ made sure to download it yesterday.
398,lets take closer look issue select following link join us dm well go,@115854 Lets take a closer look into this issue. Select the following link to join us in a DM and we'll go from there. https://t.co/GDrqU22YpT
399,,@AppleSupport  https://t.co/NV0yucs0lB
400,is changing showing correctly social media platforms,@AppleSupport why are my I️’s changing not showing up correctly on any of my social media platforms? https://t.co/GyRvpyVnkE
401,lets go dm next steps dm us here,@115855 Let's go to DM for the next steps. DM us here: https://t.co/GDrqU22YpT
402,tried resetting settings restarting phone,@AppleSupport Tried resetting my settings .. restarting my phone .. all that
403,steps tried since started last night,@115855 Any steps tried since it started last night?
404,looks like,@AppleSupport This is what it looks like https://t.co/XCQU2l4xUB
405,thats great ios rule outdated steps tried since started recall started,@115855 That's great it has iOS 11.1 as we can rule out being outdated. Any steps tried since this started? Do you recall when it started?
406,iphone plus yes,@AppleSupport I️ have an iPhone 7 Plus and yes I️ do
407,wed like look model ios installed steps tried far,@115855 We'd like to look into this with you. Which model do you have and is iOS 11.1 installed? Any steps tried so far?
408,need answers its annoying,@AppleSupport I️ need answers because it’s annoying 🙃
409,is question marks,Why are my I’s question marks ?
410,“ “,What is up with this “ I️ “
411,hey lets work together figure whats going meet us dm well continue,"@115856 Hey, let's work together to figure out what's going on. Meet us in DM and we'll continue from there. https://t.co/GDrqU22YpT"
412,sent dm,@AppleSupport Just sent you all my DM
413,hey anyone else upgraded ios yall issues capital “ i ” mail app puts “ a ”,"Hey @AppleSupport and anyone else who upgraded to ios11.1, are y’all having issues with capital “I️” in the Mail app? As it puts in “A”?"
414,wed like investigate send us dm troubleshoot,@115857 We'd like to investigate further with you. Send us a DM and we can troubleshoot more from there. https://t.co/GDrqU22YpT
415,happening,@AppleSupport This is what is happening... https://t.co/X3SZSJXfAT
416,fill us happening help,"@115857 Fill us in on what is happening, then we can help out from there."
417,tf wrong keyboard,Tf is wrong with my keyboard @115858
418,weve received dm continue,@115859 We've received your DM and will continue there.
419,call centres closed night,@AppleSupport are the call centres closed for the night?
420,whats going on were hapy help,@115859 What's going on? We're hapy to help if we can. https://t.co/GDrqU22YpT
421,hello lines closed tonight,@115858 @AppleSupport hello are all the lines closed for tonight #help
422,reach us via dm take look,"@115860 Reach out to us via DM, and we can take a look at this with you. https://t.co/GDrqU22YpT"
423,upgraded didnt work,@115861 @115862 @AppleSupport I️ upgraded. I️t didn’t work.
424,will,@115862 @AppleSupport I will!
425,were going need share answers angela cant stand this,@AppleSupport @115861 We’re going to need you to share the answers Angela. I️ can’t stand this!
426,right place well help start let us know ios version installed via dm,"@115861 You're in the right place; we'll do all we can to help. To start, let us know what iOS version is installed via DM: https://t.co/GDrqU22YpT"
427,hello internet someone explain symbol keeps appearing phone try type letter i also,"Hello, internet. Can someone explain why this symbol keeps appearing on my phone and when I️ try to type the letter I️? Also @AppleSupport https://t.co/QKwvTLtiN7"
428,go ahead send us dm please let us know country,@115863 Go ahead and send us a DM please. Let us know the country you're in.
429,ive got screenshot saying reserved rd email saying its th happened,@AppleSupport I’ve got a screenshot saying my #iPhoneX is reserved for the 3rd then an email saying it’s the 18th... what happened?
430,wed like help well need details whats happening device model it ios,"@115864 We'd like to help, but we'll need more details. What's happening on your device and which model is it? Do you have iOS 11.1?"
431,iphone plus recent update,@AppleSupport I have the iPhone 6s Plus and just did the most recent update.
432,make sure ios installed currently also steps tried far dm us here,"@115864 To make sure, is iOS 11.1 installed on it currently? Also, any steps tried so far? DM us here: https://t.co/GDrqU22YpT"
433,thank updated phone even slower barely works thank ruining phone,Thank you @AppleSupport I updated my phone and now it is even slower and barely works. Thank you for ruining my phone.😤
434,thanks ios version currently showing settings gt general gt about,@115865 Thanks! Which iOS version is currently showing in Settings &gt; General &gt; About?
435,ios,@AppleSupport iOS 11.0.3
436,lets check settings gt general gt software update ios released earlier today see it please backup amp update,"@115865 Let's check Settings &gt; General &gt; Software Update. iOS 11.1 was released earlier today. If you see it, please backup &amp; update."
437,okey thank you,@AppleSupport Okey. Thank you! 🤗
438,pleasure still issues back update contact us back were happy help,"@115865 Our pleasure. If you're still having issues after a back up and update, contact us back. We're happy to help."
439,iphone plus,@AppleSupport iPhone 7 Plus 😊
440,hi there type device working with,@115865 Hi there! What type of device are we working with?
441,need software update urgently battery lasts literally half day,@AppleSupport I need the software update urgently. The battery lasts literally half a day 🙍🏼🙁@AppleSupport
442,offer support via twitter english get help spanish here join,@115865 We offer support via Twitter in English. Get help in Spanish here: https://t.co/IBIY3vMgPj or join https://t.co/OczyRx7IOs
443,hola necesito urgente la actualización de software la batería dura literal medio día ‍,Hola @AppleSupport necesito urgente la actualización de software. La batería me dura literal medio día 🙍🏼🙇🏼‍♀️
444,want help dm us let us know issues,@115866 We want to help! DM us and let us know more about the issues you are having. https://t.co/GDrqU22YpT
445,hi going on youtube lost it done it thanks support,@AppleSupport Hi! What is going on? Has Youtube lost it? What can be done about it? Thanks for the support! https://t.co/T8ZZp4IH6t
446,wed like get speaking experts here,@115867 We'd like to get you speaking to our experts here: https://t.co/IBIY3vMgPj
447,hello,@AppleSupport ? hello
448,apple tv works fine phone playing videos mac air stutters much amp sound still mac tv,"@AppleSupport my Apple TV works fine with my phone, but when playing videos on Mac air it stutters so much &amp; sound is still on Mac not tv?"
449,weve released ios suggest backing amp updating then test issue heres how,"@115868 We've just released iOS 11.1. We suggest backing up &amp; updating. Then, test the issue again. Here's how: https://t.co/80YRnjDFDk"
450,yes did,"@AppleSupport Yes it did, 11.0.3"
451,let us help home button issue start right ios version ios running,@115868 Let us help with your Home button. Did this issue start right after iOS 11? Which version of iOS 11 are you running?
452,home button doesnt work,MY HOME BUTTON DOESN’T WORK #IOS11 @AppleSupport
453,were help meet us dm check available options,@115869 We're here to help. Meet us in DM and we can check on available options. https://t.co/GDrqU22YpT
454,hey last time downloaded update freaking phone gave hell recommendations,Hey @115858! Last time I downloaded an update my freaking phone gave me hell. Any recommendations?
455,dm us specific ios version running currently well continue,@115870 DM us the specific iOS version you are running currently and we'll continue there. https://t.co/GDrqU22YpT
456,find option get always playing,@AppleSupport I can not find an option to get it there. It was just always there when playing.
457,confirm happening spotify correct,"@115870 Just to confirm, this is only happening with Spotify, correct?"
458,app still longer able control lockscreen,@AppleSupport The app is still there. But no longer able to control it from the lockscreen.
459,thanks reaching us experiencing missing app restating device,@115870 Thanks for reaching out to us. Are you experiencing the missing app after restating your device?
460,update spotify lock screen,After update #ios1103 no spotify on my lock screen?@AppleSupport
461,want help get battery life back track please dm well look together,@115871 We want to help you get your battery life back on track. Please DM and we'll look at it together. https://t.co/GDrqU22YpT
462,need something battery life sucks ass,I just need @115858 to do something about the battery life because it sucks ass
463,happy follow up contact us via connect,@115872 Happy to follow up! Contact us via https://t.co/1xM0TILvAI so we can connect.
464,already told requested dropped somewhere different completely false,@Uber_Support Already did that was told we requested to dropped off somewhere different which is completely false.
465,apologize trouble send us dm email address well connect,@115872 We apologize for the trouble! Send us a DM with your email address and we'll connect.
466,need correct false charges trip lexington ky saturday want back,@115873 you need to correct false charges from a trip in Lexington KY on Saturday. I want my $13 back #lyingdriver #theft
467,were help send us note here team touch,"@115874 We're here to help! Send us a note here, https://t.co/WFtPA6RjWt and our team will be in touch."
468,driver drove department air travel instead airpor rufkm,@115873 my driver just drove me to the department of air travel instead of the airport.......... rufkm
469,were help travis send us note via well touch,"@115875 We’re here to help, Travis! Send us a note via https://t.co/dwDjAokZht and we'll be in touch."
470,im getting texts,@Uber_Support I’m not getting your texts. https://t.co/GhefNjQTfg
471,info ubereats availability click here,@115876 For more info about UberEats availability click here; https://t.co/3A9YFZQFaF
472,got threw door today went order sorry deliver area what get then,@115877 got this threw my door today went to order... sorry we don't deliver to your area! What!!! Why did I get this then! https://t.co/BGzU59vYJS
473,received dm follow,@115878 We have received your DM and will follow up with you there.
474,,@Uber_Support @115879 wouldn't do this to me 😔
475,phone number im literally stranded wait automated reply ridiculous,@Uber_Support Why is there no phone number ?? I'm literally stranded and now I have to wait for an automated reply this is ridiculous
